discoveries	discoveries update
move	new or desired item at #Position{:x 33, :y 11}
autotravel	new or desired item at #Position{:x 41, :y 20}
move	new or desired item at #Position{:x 41, :y 20}
autotravel	new or desired item at #Position{:x 41, :y 20}
move	new or desired item at #Position{:x 41, :y 20}
autotravel	new or desired item at #Position{:x 41, :y 20}
move	new or desired item at #Position{:x 41, :y 20}
move	new or desired item at #Position{:x 41, :y 20}
look	examining tile {'x': 42, 'y': 9, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': False, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': 553, 'walked': 553, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	targetting leftover enemy {'x': 44, 'y': 7, 'known': 553, 'first-known': 553, 'glyph': 'F', 'color': 'red', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'infravisible', 'neuter', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'red', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'poison', 'fire'}, 'name': 'red mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison', 'fire'}, 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'fire', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 44, 'y': 7, 'known': 554, 'first-known': 553, 'glyph': 'F', 'color': 'red', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'infravisible', 'neuter', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'red', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'poison', 'fire'}, 'name': 'red mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison', 'fire'}, 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'fire', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 44, 'y': 7, 'known': 554, 'first-known': 553, 'glyph': 'F', 'color': 'red', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'infravisible', 'neuter', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'red', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'poison', 'fire'}, 'name': 'red mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison', 'fire'}, 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'fire', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 44, 'y': 7, 'known': 555, 'first-known': 553, 'glyph': 'F', 'color': 'red', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'infravisible', 'neuter', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'red', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'poison', 'fire'}, 'name': 'red mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison', 'fire'}, 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'fire', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 44, 'y': 7, 'known': 555, 'first-known': 553, 'glyph': 'F', 'color': 'red', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'infravisible', 'neuter', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'red', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'poison', 'fire'}, 'name': 'red mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison', 'fire'}, 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'fire', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	recovering - exploring nearby items
look	examining tile {'x': 44, 'y': 7, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [(556, {'x': 44, 'y': 7, 'known': 555, 'first-known': 553, 'glyph': 'F', 'color': 'red', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'infravisible', 'neuter', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'red', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'poison', 'fire'}, 'name': 'red mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison', 'fire'}, 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'fire', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'red', 'first-walked': 557, 'walked': 557, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
pickup	getting desirable items
inventory	requested inventory update
look	examining tile {'x': 44, 'y': 7, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'a red mold corpse', 'qty': 1, 'name': 'red mold corpse', 'erosion': 0}], 'deaths': [(556, {'x': 44, 'y': 7, 'known': 555, 'first-known': 553, 'glyph': 'F', 'color': 'red', 'type': {'tags': {'hostile', 'noeyes', 'nohead', 'breathless', 'infravisible', 'neuter', 'nolimbs', 'sessile', 'notake', 'mindless'}, 'color': 'red', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'poison', 'fire'}, 'name': 'red mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison', 'fire'}, 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'fire', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': None, 'first-walked': 557, 'walked': 561, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 557}
farlook	examining monster
farlook	examining monster
repeated	recovering
farlook	examining monster
move	new or desired item at #Position{:x 42, :y 9}
move	new or desired item at #Position{:x 42, :y 9}
pickup	getting desirable items
inventory	requested inventory update
look	examining tile {'x': 42, 'y': 9, 'glyph': '@', 'color': 'white', 'feature': 'stairs-up', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': '33 gold pieces', 'qty': 33, 'name': 'gold piece', 'erosion': 0}], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '$', 'item-color': 'yellow', 'first-walked': 553, 'walked': 604, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 553}
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
farlook	examining monster
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
farlook	examining monster
farlook	examining monster
farlook	examining monster
farlook	examining monster
look	examining tile {'x': 32, 'y': 9, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'brown', 'first-walked': 615, 'walked': 615, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
farlook	examining monster
farlook	examining monster
loot	learning contents of containers on ground
loot	learning contents of containers on ground
farlook	examining monster
loot	learning contents of containers on ground
loot	learning contents of containers on ground
loot	learning contents of containers on ground
loot	taking {'31 gold pieces': None, 'a scroll labeled GARVEN DEH': None} out of container at . | looting desirable items
inventory	requested inventory update
loot	updating content of container at .
autotravel	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': False, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	new or desired item at {'x': 24, 'y': 7, 'glyph': '(', 'color': 'red', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
look	examining tile {'x': 24, 'y': 7, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '(', 'item-color': 'red', 'first-walked': 645, 'walked': 645, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	robbing a poor peaceful dorf
move	robbing a poor peaceful dorf
attack	robbing a poor peaceful dorf
farlook	examining monster
move	hitting {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting enemy {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': None, 'walked': None, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
look	examining tile {'x': 27, 'y': 8, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': True, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
pickup	getting desirable items
inventory	requested inventory update
autotravel	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
move	new or desired item at {'x': 27, 'y': 8, 'glyph': ')', 'color': 'brown', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [{'label': 'an elven dagger', 'qty': 1, 'name': 'elven dagger', 'erosion': 0}], 'deaths': [(649, {'x': 27, 'y': 8, 'known': 648, 'first-known': 635, 'glyph': 'h', 'color': 'green', 'type': {'tags': {'infravision', 'collect', 'humanoid', 'omnivore', 'infravisible'}, 'color': 'green', 'ac': 10, 'speed': 9, 'difficulty': 1, 'resistances': set(), 'name': 'hobbit', 'alignment': 6, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 500, 'glyph': 'h', 'sounds': 'humanoid', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 200, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': False, 'tags': frozenset(), 'item-glyph': ')', 'item-color': 'brown', 'first-walked': 650, 'walked': 650, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 650}
farlook	examining monster
move	new or desired item at #Position{:x 10, :y 6}
move	new or desired item at #Position{:x 10, :y 6}
move	new or desired item at #Position{:x 10, :y 5}
look	examining tile {'x': 10, 'y': 5, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'white', 'first-walked': 670, 'walked': 670, 'engraving': None, 'engraving-type': None, 'room': 'food', 'thump': None}
move	new or desired item at #Position{:x 9, :y 5}
look	examining tile {'x': 10, 'y': 6, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'brown', 'first-walked': 671, 'walked': 671, 'engraving': None, 'engraving-type': None, 'room': 'food', 'thump': None}
