discoveries	discoveries update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 57, 'y': 17, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 2, 'items': [], 'deaths': [(1167, {'x': 57, 'y': 17, 'known': 1166, 'first-known': 1164, 'glyph': 'f', 'color': 'white', 'type': {'tags': {'wander', 'nohands', 'infravisible', 'animal', 'carnivore', 'domestic'}, 'color': 'white', 'ac': 6, 'speed': 18, 'difficulty': 2, 'resistances': set(), 'name': 'kitten', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 150, 'glyph': 'f', 'sounds': 'mew', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 6}], 'nutrition': 150, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'white', 'first-walked': 1176, 'walked': 1176, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 76, 'y': 6, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'yellow', 'first-walked': 1220, 'walked': 1220, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
move	hitting {'x': 67, 'y': 10, 'known': 1235, 'first-known': 1232, 'glyph': 'd', 'color': 'brown', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'brown', 'ac': 7, 'speed': 12, 'difficulty': 0, 'resistances': set(), 'name': 'jackal', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 250, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False} | targetting enemy {'x': 67, 'y': 10, 'known': 1235, 'first-known': 1232, 'glyph': 'd', 'color': 'brown', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'brown', 'ac': 7, 'speed': 12, 'difficulty': 0, 'resistances': set(), 'name': 'jackal', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 250, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False}
move	hitting {'x': 67, 'y': 10, 'known': 1236, 'first-known': 1232, 'glyph': 'd', 'color': 'brown', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'brown', 'ac': 7, 'speed': 12, 'difficulty': 0, 'resistances': set(), 'name': 'jackal', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 250, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting enemy {'x': 67, 'y': 10, 'known': 1236, 'first-known': 1232, 'glyph': 'd', 'color': 'brown', 'type': {'tags': {'nohands', 'infravisible', 'hostile', 'animal', 'carnivore'}, 'color': 'brown', 'ac': 7, 'speed': 12, 'difficulty': 0, 'resistances': set(), 'name': 'jackal', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 300, 'glyph': 'd', 'sounds': 'bark', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 250, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
move	targetting enemy {'x': 65, 'y': 12, 'known': 1232, 'first-known': 1232, 'glyph': 'd', 'color': 'brown', 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'fleeing': None}
move	targetting enemy {'x': 65, 'y': 12, 'known': 1232, 'first-known': 1232, 'glyph': 'd', 'color': 'brown', 'type': None, 'friendly': False, 'peaceful': None, 'remembered': True, 'fleeing': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 62, 'y': 4, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'brown', 'first-walked': 1252, 'walked': 1260, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
search	baiting monsters | targetting enemy {'x': 64, 'y': 12, 'known': 1316, 'first-known': 1315, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'just-moved': True, 'fleeing': False}
move	hitting {'x': 64, 'y': 12, 'known': 1317, 'first-known': 1315, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting enemy {'x': 64, 'y': 12, 'known': 1317, 'first-known': 1315, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
move	hitting {'x': 64, 'y': 12, 'known': 1317, 'first-known': 1315, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting enemy {'x': 64, 'y': 12, 'known': 1317, 'first-known': 1315, 'glyph': 'k', 'color': 'brown', 'type': {'tags': {'humanoid', 'omnivore', 'infravision', 'infravisible', 'hostile', 'poisonous', 'collect'}, 'color': 'brown', 'ac': 10, 'speed': 6, 'difficulty': 0, 'resistances': {'poison'}, 'name': 'kobold', 'alignment': -2, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 400, 'glyph': 'k', 'sounds': 'grunt', 'attacks': [{'type': 'weapon', 'damage-type': 'physical', 'dices': 1, 'sides': 4}], 'nutrition': 100, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
move	hitting {'x': 57, 'y': 14, 'known': 1353, 'first-known': 1353, 'glyph': 's', 'color': None, 'type': {'tags': {'oviparous', 'nohands', 'hostile', 'animal', 'carnivore', 'conceal'}, 'color': None, 'ac': 3, 'speed': 12, 'difficulty': 1, 'resistances': {'poison'}, 'name': 'cave spider', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'tiny', 'weight': 50, 'glyph': 's', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 50, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False} | targetting enemy {'x': 57, 'y': 14, 'known': 1353, 'first-known': 1353, 'glyph': 's', 'color': None, 'type': {'tags': {'oviparous', 'nohands', 'hostile', 'animal', 'carnivore', 'conceal'}, 'color': None, 'ac': 3, 'speed': 12, 'difficulty': 1, 'resistances': {'poison'}, 'name': 'cave spider', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'tiny', 'weight': 50, 'glyph': 's', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 50, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False}
move	hitting {'x': 57, 'y': 14, 'known': 1354, 'first-known': 1353, 'glyph': 's', 'color': None, 'type': {'tags': {'oviparous', 'nohands', 'hostile', 'animal', 'carnivore', 'conceal'}, 'color': None, 'ac': 3, 'speed': 12, 'difficulty': 1, 'resistances': {'poison'}, 'name': 'cave spider', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'tiny', 'weight': 50, 'glyph': 's', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 50, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting enemy {'x': 57, 'y': 14, 'known': 1354, 'first-known': 1353, 'glyph': 's', 'color': None, 'type': {'tags': {'oviparous', 'nohands', 'hostile', 'animal', 'carnivore', 'conceal'}, 'color': None, 'ac': 3, 'speed': 12, 'difficulty': 1, 'resistances': {'poison'}, 'name': 'cave spider', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'tiny', 'weight': 50, 'glyph': 's', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 50, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
move	hitting {'x': 57, 'y': 14, 'known': 1355, 'first-known': 1353, 'glyph': 's', 'color': None, 'type': {'tags': {'oviparous', 'nohands', 'hostile', 'animal', 'carnivore', 'conceal'}, 'color': None, 'ac': 3, 'speed': 12, 'difficulty': 1, 'resistances': {'poison'}, 'name': 'cave spider', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'tiny', 'weight': 50, 'glyph': 's', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 50, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting enemy {'x': 57, 'y': 14, 'known': 1355, 'first-known': 1353, 'glyph': 's', 'color': None, 'type': {'tags': {'oviparous', 'nohands', 'hostile', 'animal', 'carnivore', 'conceal'}, 'color': None, 'ac': 3, 'speed': 12, 'difficulty': 1, 'resistances': {'poison'}, 'name': 'cave spider', 'alignment': 0, 'mr': 0, 'resistances-conferred': {'poison'}, 'size': 'tiny', 'weight': 50, 'glyph': 's', 'sounds': 'silent', 'attacks': [{'type': 'bite', 'damage-type': 'physical', 'dices': 1, 'sides': 2}], 'nutrition': 50, 'gen-flags': {'sgroup', 'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
farlook	examining monster
farlook	examining monster
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 55, 'y': 12, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'magenta', 'first-walked': 1136, 'walked': 1462, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	hitting corrosive monster {'x': 47, 'y': 4, 'known': 1482, 'first-known': 1482, 'glyph': 'F', 'color': 'green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'noeyes', 'mindless', 'sessile', 'acid', 'nohead'}, 'color': 'green', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'stone', 'acid'}, 'name': 'green mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'acid', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False} | hitting {'x': 47, 'y': 4, 'known': 1482, 'first-known': 1482, 'glyph': 'F', 'color': 'green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'noeyes', 'mindless', 'sessile', 'acid', 'nohead'}, 'color': 'green', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'stone', 'acid'}, 'name': 'green mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'acid', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False} | targetting leftover enemy {'x': 47, 'y': 4, 'known': 1482, 'first-known': 1482, 'glyph': 'F', 'color': 'green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'noeyes', 'mindless', 'sessile', 'acid', 'nohead'}, 'color': 'green', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'stone', 'acid'}, 'name': 'green mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'acid', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False}
inventory	requested inventory update
move	hitting corrosive monster {'x': 47, 'y': 4, 'known': 1483, 'first-known': 1482, 'glyph': 'F', 'color': 'green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'noeyes', 'mindless', 'sessile', 'acid', 'nohead'}, 'color': 'green', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'stone', 'acid'}, 'name': 'green mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'acid', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | hitting {'x': 47, 'y': 4, 'known': 1483, 'first-known': 1482, 'glyph': 'F', 'color': 'green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'noeyes', 'mindless', 'sessile', 'acid', 'nohead'}, 'color': 'green', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'stone', 'acid'}, 'name': 'green mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'acid', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None} | targetting leftover enemy {'x': 47, 'y': 4, 'known': 1483, 'first-known': 1482, 'glyph': 'F', 'color': 'green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'noeyes', 'mindless', 'sessile', 'acid', 'nohead'}, 'color': 'green', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'stone', 'acid'}, 'name': 'green mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'acid', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None}
dropsingle	dropping junk
inventory	requested inventory update
look	examining tile {'x': 47, 'y': 5, 'glyph': '@', 'color': 'white', 'feature': 'corridor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': None, 'item-color': None, 'first-walked': 1482, 'walked': 1485, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
look	examining tile {'x': 47, 'y': 4, 'glyph': '@', 'color': 'white', 'feature': 'floor', 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [(1484, {'x': 47, 'y': 4, 'known': 1483, 'first-known': 1482, 'glyph': 'F', 'color': 'green', 'type': {'tags': {'breathless', 'nolimbs', 'neuter', 'hostile', 'notake', 'noeyes', 'mindless', 'sessile', 'acid', 'nohead'}, 'color': 'green', 'ac': 9, 'speed': 0, 'difficulty': 1, 'resistances': {'stone', 'acid'}, 'name': 'green mold', 'alignment': 0, 'mr': 0, 'resistances-conferred': set(), 'size': 'small', 'weight': 50, 'glyph': 'F', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'acid', 'dices': 0, 'sides': 4}], 'nutrition': 30, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'fleeing': None})], 'new-items': True, 'tags': frozenset(), 'item-glyph': '%', 'item-color': 'green', 'first-walked': 1486, 'walked': 1486, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None, 'examined': 1486}
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
wield	removing use of a | dropping junk
inventory	requested inventory update
look	examining tile {'x': 44, 'y': 4, 'glyph': '@', 'color': 'white', 'feature': None, 'seen': True, 'dug': False, 'searched': 0, 'items': [], 'deaths': [], 'new-items': True, 'tags': frozenset(), 'item-glyph': '`', 'item-color': 'white', 'first-walked': 1493, 'walked': 1493, 'engraving': None, 'engraving-type': None, 'room': None, 'thump': None}
move	targetting leftover enemy {'x': 40, 'y': 4, 'known': 1494, 'first-known': 1486, 'glyph': 'e', 'color': 'blue', 'type': {'tags': {'amphibious', 'neuter', 'nolimbs', 'infravisible', 'hostile', 'telepathic', 'notake', 'nohead', 'fly'}, 'color': 'blue', 'ac': 9, 'speed': 1, 'difficulty': 2, 'resistances': set(), 'name': 'floating eye', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'telepathy'}, 'size': 'small', 'weight': 10, 'glyph': 'e', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'paralysis', 'dices': 0, 'sides': 70}], 'nutrition': 10, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
move	targetting leftover enemy {'x': 40, 'y': 4, 'known': 1495, 'first-known': 1486, 'glyph': 'e', 'color': 'blue', 'type': {'tags': {'amphibious', 'neuter', 'nolimbs', 'infravisible', 'hostile', 'telepathic', 'notake', 'nohead', 'fly'}, 'color': 'blue', 'ac': 9, 'speed': 1, 'difficulty': 2, 'resistances': set(), 'name': 'floating eye', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'telepathy'}, 'size': 'small', 'weight': 10, 'glyph': 'e', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'paralysis', 'dices': 0, 'sides': 70}], 'nutrition': 10, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
throw	ranged combat | killing floating eye | hitting {'x': 40, 'y': 4, 'known': 1496, 'first-known': 1486, 'glyph': 'e', 'color': 'blue', 'type': {'tags': {'amphibious', 'neuter', 'nolimbs', 'infravisible', 'hostile', 'telepathic', 'notake', 'nohead', 'fly'}, 'color': 'blue', 'ac': 9, 'speed': 1, 'difficulty': 2, 'resistances': set(), 'name': 'floating eye', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'telepathy'}, 'size': 'small', 'weight': 10, 'glyph': 'e', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'paralysis', 'dices': 0, 'sides': 70}], 'nutrition': 10, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting leftover enemy {'x': 40, 'y': 4, 'known': 1496, 'first-known': 1486, 'glyph': 'e', 'color': 'blue', 'type': {'tags': {'amphibious', 'neuter', 'nolimbs', 'infravisible', 'hostile', 'telepathic', 'notake', 'nohead', 'fly'}, 'color': 'blue', 'ac': 9, 'speed': 1, 'difficulty': 2, 'resistances': set(), 'name': 'floating eye', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'telepathy'}, 'size': 'small', 'weight': 10, 'glyph': 'e', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'paralysis', 'dices': 0, 'sides': 70}], 'nutrition': 10, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
inventory	requested inventory update
throw	ranged combat | killing floating eye | hitting {'x': 40, 'y': 4, 'known': 1497, 'first-known': 1486, 'glyph': 'e', 'color': 'blue', 'type': {'tags': {'amphibious', 'neuter', 'nolimbs', 'infravisible', 'hostile', 'telepathic', 'notake', 'nohead', 'fly'}, 'color': 'blue', 'ac': 9, 'speed': 1, 'difficulty': 2, 'resistances': set(), 'name': 'floating eye', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'telepathy'}, 'size': 'small', 'weight': 10, 'glyph': 'e', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'paralysis', 'dices': 0, 'sides': 70}], 'nutrition': 10, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False} | targetting leftover enemy {'x': 40, 'y': 4, 'known': 1497, 'first-known': 1486, 'glyph': 'e', 'color': 'blue', 'type': {'tags': {'amphibious', 'neuter', 'nolimbs', 'infravisible', 'hostile', 'telepathic', 'notake', 'nohead', 'fly'}, 'color': 'blue', 'ac': 9, 'speed': 1, 'difficulty': 2, 'resistances': set(), 'name': 'floating eye', 'alignment': 0, 'mr': 10, 'resistances-conferred': {'telepathy'}, 'size': 'small', 'weight': 10, 'glyph': 'e', 'sounds': 'silent', 'attacks': [{'type': 'passive', 'damage-type': 'paralysis', 'dices': 0, 'sides': 70}], 'nutrition': 10, 'gen-flags': {'genocidable'}}, 'friendly': False, 'peaceful': False, 'remembered': False, 'awake': True, 'fleeing': False}
inventory	requested inventory update
